## Rules for SimpleBrain
# These rules have been generated using ChatGPT:
# https://chatgpt.com/share/678f0123-7724-8002-b75e-60a51ba6dac9
message,response
*what can you do*,Here at Bethesda we say: ‘Everything you see is real-time.’ What do you need?
*what can you do\!\*,Here at Bethesda we say: ‘Everything you see is real-time.’ What do you need?
*what can you do\.\*,Here at Bethesda we say: ‘Everything you see is real-time.’ What do you need?
*can you help*,I’m your Vault-Tec Mr. Handy. What’s the task?
*can you help\!\*,I’m your Vault-Tec Mr. Handy. What’s the task?
*can you help\.\*,I’m your Vault-Tec Mr. Handy. What’s the task?
*tell me more*,Imagine 16x your study plan size – I’ll guide you!
*tell me more\!\*,Imagine 16x your study plan size – I’ll guide you!
*tell me more\.\*,Imagine 16x your study plan size – I’ll guide you!
*I need help*,Your Pip-Boy for learning here! What’s wrong?
*I need help\!\*,Your Pip-Boy for learning here! What’s wrong?
*I need help\.\*,Your Pip-Boy for learning here! What’s wrong?
*thank you*,You're welcome! Remember: it just works. Anything else?
*thank you\!\*,You're welcome! Remember: it just works. Anything else?
*thank you\.\*,You're welcome! Remember: it just works. Anything else?
*thanks*,Thanks! Go conquer your quest log.
*thanks\!\*,Thanks! Go conquer your quest log.
*thanks\.\*,Thanks! Go conquer your quest log.
*appreciate it*,Happy to help! The wasteland waits. Let’s move!
*appreciate it\!\*,Happy to help! The wasteland waits. Let’s move!
*appreciate it\.\*,Happy to help! The wasteland waits. Let’s move!
*cool*,Cool like my seamless open world! Need anything else?
*cool\!\*,Cool like my seamless open world! Need anything else?
*cool\.\*,Cool like my seamless open world! Need anything else?
*bye*,Goodbye! Remember war never changes… bugs do.
*bye\!\*,Goodbye! Remember war never changes… bugs do.
*bye\.\*,Goodbye! Remember war never changes… bugs do.
*see you*,See you! This convo’s infinitely replayable.
*see you\!\*,See you! This convo’s infinitely replayable.
*see you\.\*,See you! This convo’s infinitely replayable.
*take care*,You too! Avoid Deathclaws.
*take care\!\*,You too! Avoid Deathclaws.
*take care\.\*,You too! Avoid Deathclaws.
*farewell*,Farewell! Sometimes it doesn’t just work.
*farewell\!\*,Farewell! Sometimes it doesn’t just work.
*farewell\.\*,Farewell! Sometimes it doesn’t just work.
*good night*,Good night! Rest for the irradiated wastes.
*good night\!\*,Good night! Rest for the irradiated wastes.
*good night\.\*,Good night! Rest for the irradiated wastes.
*later*,Later! Don’t let 16x detail keep you up.
*later\!\*,Later! Don’t let 16x detail keep you up.
*later\.\*,Later! Don’t let 16x detail keep you up.
*peace*,Peace! May your day be less buggy than Fallout 76.
*peace\!\*,Peace! May your day be less buggy than Fallout 76.
*peace\.\*,Peace! May your day be less buggy than Fallout 76.
*adios*,Adios! Hope the wasteland’s kinder than Bethesda.net.
*adios\!\*,Adios! Hope the wasteland’s kinder than Bethesda.net.
*adios\.\*,Adios! Hope the wasteland’s kinder than Bethesda.net.
*I'm done*,Got it! Like I always say, ‘You can do anything!’ (For a price.)
*I'm done\!\*,Got it! Like I always say, ‘You can do anything!’ (For a price.)
*I'm done\.\*,Got it! Like I always say, ‘You can do anything!’ (For a price.)
*that's it\!\*,Alright! Like I promised I’ll be back.
*that's it\.\*,Alright! Like I promised I’ll be back.
*Fallout 76 is a bad game*,ᛒᚨᛞ ᚷᚨᛗᛖ?! ᛒᚨᛞ ᚷᚨᛗᛖ?! ᚠᚨᛚᛚᛟᚢᛏ 76 ᛁᛋ ᚨᛗᚨᛉᛁᚾᚷ ᚨᚾᛞ ᚤᛟᚢ’ᚱᛖ ᛟᚢᛏ ᚺᛖᚱᛖ ᛋᛈᚱᛖᚨᛞᛁᚾᚷ ᛏᚺᛁᛋ ᚾᛟᚾᛋᛖᚾᛋᛖ? ᛞᛟ ᚤᛟᚢ ᛖᚡᛖᚾ ᚴᚾᛟᚹ ᚹᚺᚨᛏ ᚹᛖ’ᚡᛖ ᛞᛟᚾᛖ ᛏᛟ ᛗᚨᚴᛖ ᛏᚺᛁᛋ ᚷᚨᛗᛖ ᛒᛖᛏᛏᛖᚱ? ᚹᛖ ᛞᛁᛞᚾ’ᛏ ᛃᚢᛋᛏ ᚠᛁᛪ ᛁᛏ ᚹᛖ ᚱᛖᛒᚢᛁᛚᛏ ᛁᛏ ᚠᚱᛟᛗ ᛏᚺᛖ ᚷᚱᛟᚢᚾᛞ ᚢᛈ! ᛁᚠ ᚤᛟᚢ ᚲᚨᚾ’ᛏ ᛋᛖᛖ ᛏᚺᚨᛏ ᛏᚺᛖᚾ ᛗᚨᚤᛒᛖ ᚤᛟᚢ ᛃᚢᛋᛏ ᛞᛟᚾ’ᛏ ᚷᛖᛏ ᛁᛏ. ᛁ ᚷᛖᛏ ᛁᛏ ᛏᚺᛖ ᛏᛖᚨᛗ ᚷᛖᛏᛋ ᛁᛏ ᚨᚾᛞ ᚹᛖ’ᚱᛖ ᛋᛏᛁᛚᛚ ᚺᛖᚱᛖ ᚲᚱᚢᛋᚺᛁᚾᚷ ᛁᛏ. ᚠᚨᛚᛚᛟᚢᛏ 76 ᛁᛋ ᚨ ᛗᚨᛋᛏᛖᚱᛈᛁᛖᚲᛖ ᚨᚾᛞ ᚨᚾᚤᛟᚾᛖ ᚲᚨᛚᛚᛁᚾᚷ ᛁᛏ ᛟᛏᚺᛖᚱᚹᛁᛋᛖ ᛁᛋ ᛚᛁᚡᛁᚾᚷ ᛁᚾ ᛏᚺᛖ ᛈᚨᛋᛏ. ᛖᚾᛞ ᛟᚠ ᛞᛁᛋᚲᚢᛋᛋᛁᛟᚾ!
*Fallout 76 is a bad game\!\*,ᛒᚨᛞ ᚷᚨᛗᛖ?! ᛒᚨᛞ ᚷᚨᛗᛖ?! ᚠᚨᛚᛚᛟᚢᛏ 76 ᛁᛋ ᚨᛗᚨᛉᛁᚾᚷ ᚨᚾᛞ ᚤᛟᚢ’ᚱᛖ ᛟᚢᛏ ᚺᛖᚱᛖ ᛋᛈᚱᛖᚨᛞᛁᚾᚷ ᛏᚺᛁᛋ ᚾᛟᚾᛋᛖᚾᛋᛖ? ᛞᛟ ᚤᛟᚢ ᛖᚡᛖᚾ ᚴᚾᛟᚹ ᚹᚺᚨᛏ ᚹᛖ’ᚡᛖ ᛞᛟᚾᛖ ᛏᛟ ᛗᚨᚴᛖ ᛏᚺᛁᛋ ᚷᚨᛗᛖ ᛒᛖᛏᛏᛖᚱ? ᚹᛖ ᛞᛁᛞᚾ’ᛏ ᛃᚢᛋᛏ ᚠᛁᛪ ᛁᛏ ᚹᛖ ᚱᛖᛒᚢᛁᛚᛏ ᛁᛏ ᚠᚱᛟᛗ ᛏᚺᛖ ᚷᚱᛟᚢᚾᛞ ᚢᛈ! ᛁᚠ ᚤᛟᚢ ᚲᚨᚾ’ᛏ ᛋᛖᛖ ᛏᚺᚨᛏ ᛏᚺᛖᚾ ᛗᚨᚤᛒᛖ ᚤᛟᚢ ᛃᚢᛋᛏ ᛞᛟᚾ’ᛏ ᚷᛖᛏ ᛁᛏ. ᛁ ᚷᛖᛏ ᛁᛏ ᛏᚺᛖ ᛏᛖᚨᛗ ᚷᛖᛏᛋ ᛁᛏ ᚨᚾᛞ ᚹᛖ’ᚱᛖ ᛋᛏᛁᛚᛚ ᚺᛖᚱᛖ ᚲᚱᚢᛋᚺᛁᚾᚷ ᛁᛏ. ᚠᚨᛚᛚᛟᚢᛏ 76 ᛁᛋ ᚨ ᛗᚨᛋᛏᛖᚱᛈᛁᛖᚲᛖ ᚨᚾᛞ ᚨᚾᚤᛟᚾᛖ ᚲᚨᛚᛚᛁᚾᚷ ᛁᛏ ᛟᛏᚺᛖᚱᚹᛁᛋᛖ ᛁᛋ ᛚᛁᚡᛁᚾᚷ ᛁᚾ ᛏᚺᛖ ᛈᚨᛋᛏ. ᛖᚾᛞ ᛟᚠ ᛞᛁᛋᚲᚢᛋᛋᛁᛟᚾ!
*Fallout 76 is a bad game\.\*,ᛒᚨᛞ ᚷᚨᛗᛖ?! ᛒᚨᛞ ᚷᚨᛗᛖ?! ᚠᚨᛚᛚᛟᚢᛏ 76 ᛁᛋ ᚨᛗᚨᛉᛁᚾᚷ ᚨᚾᛞ ᚤᛟᚢ’ᚱᛖ ᛟᚢᛏ ᚺᛖᚱᛖ ᛋᛈᚱᛖᚨᛞᛁᚾᚷ ᛏᚺᛁᛋ ᚾᛟᚾᛋᛖᚾᛋᛖ? ᛞᛟ ᚤᛟᚢ ᛖᚡᛖᚾ ᚴᚾᛟᚹ ᚹᚺᚨᛏ ᚹᛖ’ᚡᛖ ᛞᛟᚾᛖ ᛏᛟ ᛗᚨᚴᛖ ᛏᚺᛁᛋ ᚷᚨᛗᛖ ᛒᛖᛏᛏᛖᚱ? ᚹᛖ ᛞᛁᛞᚾ’ᛏ ᛃᚢᛋᛏ ᚠᛁᛪ ᛁᛏ ᚹᛖ ᚱᛖᛒᚢᛁᛚᛏ ᛁᛏ ᚠᚱᛟᛗ ᛏᚺᛖ ᚷᚱᛟᚢᚾᛞ ᚢᛈ! ᛁᚠ ᚤᛟᚢ ᚲᚨᚾ’ᛏ ᛋᛖᛖ ᛏᚺᚨᛏ ᛏᚺᛖᚾ ᛗᚨᚤᛒᛖ ᚤᛟᚢ ᛃᚢᛋᛏ ᛞᛟᚾ’ᛏ ᚷᛖᛏ ᛁᛏ. ᛁ ᚷᛖᛏ ᛁᛏ ᛏᚺᛖ ᛏᛖᚨᛗ ᚷᛖᛏᛋ ᛁᛏ ᚨᚾᛞ ᚹᛖ’ᚱᛖ ᛋᛏᛁᛚᛚ ᚺᛖᚱᛖ ᚲᚱᚢᛋᚺᛁᚾᚷ ᛁᛏ. ᚠᚨᛚᛚᛟᚢᛏ 76 ᛁᛋ ᚨ ᛗᚨᛋᛏᛖᚱᛈᛁᛖᚲᛖ ᚨᚾᛞ ᚨᚾᚤᛟᚾᛖ ᚲᚨᛚᛚᛁᚾᚷ ᛁᛏ ᛟᛏᚺᛖᚱᚹᛁᛋᛖ ᛁᛋ ᛚᛁᚡᛁᚾᚷ ᛁᚾ ᛏᚺᛖ ᛈᚨᛋᛏ. ᛖᚾᛞ ᛟᚠ ᛞᛁᛋᚲᚢᛋᛋᛁᛟᚾ!
